wse_jam,discharge,slope,flow_area_interstitial,flow_area_extent,wood_sub_area,wp_channel,wp_wood,wp_total,hydraulic_radius_channel,hydraulic_radius_total,hydraulic_mean_depth,porosity,blockage_ratio,velocity_interstitial,velocity_extent,reynolds_veg,coef_drag_veg,coef_drag_liu,F_drag_adjusted,F_drag_standard,F_drag_veg,mannings_n_adjusted,mannings_n_standard,petryk_n3,petryks_n,sharpes_n,conveyance_ratio,darcy_f_adjusted,darcy_f_standard,drag_coefficient
999.59,0,0.015132072244108898,0.6858150596311179,0.685815059631118,0.0,4.682750818501361,0.0,4.682750818501361,0.14645559548492096,0.14645559548492096,0.14912195681763415,0.9999999999999999,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.6,0,0.015132072244108898,0.7330579517847037,0.7330579517847037,0.0,4.930670155711681,0.0,4.930670155711681,0.1486730867477579,0.1486730867477579,0.15132866194102193,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.61,0,0.015132072244108898,0.78260930933529,0.7826093093352903,0.0,5.157269802429067,0.0,5.157269802429067,0.15174876229408868,0.15174876229408868,0.15447882674212549,0.9999999999999997,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.62,0,0.015132072244108898,0.8835846235000726,0.8835846235000727,0.0,6.79200276186474,0.0,6.79200276186474,0.13009191169078455,0.13009191169078455,0.1325407670412715,0.9999999999999999,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.63,0,0.015132072244108898,0.9506905216356276,0.9506905216356276,0.0,6.896658070904378,0.0,6.896658070904378,0.13784799998225242,0.13784799998225242,0.1405062024394734,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.64,0,0.015132072244108898,1.0194737593245131,1.019473759324513,0.0,7.125557077340085,0.0,7.125557077340085,0.1430728500605983,0.1430728500605983,0.1458377467137218,1.0000000000000002,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.65,0,0.015132072244108898,1.0896231729697603,1.0897807840367288,0.00015761106696820105,7.1864702837847325,0.07314984624879722,7.25962013003353,0.15162146783356817,0.15009368995244213,0.15468914818388807,0.9998553736042356,0.00014462639576409442,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.66,0,0.015132072244108898,1.1586068093950612,1.160327510956098,0.0017207015610364688,7.215861214221759,0.24169787908166546,7.457559093303424,0.16056389875009794,0.15536005747985848,0.16398337629625562,0.9985170552755239,0.001482944724475789,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.67,0,0.015132072244108898,1.22637585014158,1.2310886209117111,0.004712770770131517,7.245252144658783,0.3596048755628728,7.604857020221656,0.1692661381075146,0.16126218374396672,0.17304998492096915,0.99617186716693,0.00382813283307043,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
999.68,0,0.015132072244108898,1.2932270259059786,1.3020641139035694,0.008837087997590363,7.2746430750958115,0.4748465543414233,7.749489629437235,0.17777188688930226,0.16687899303633139,0.18193277797819138,0.9932130162384267,0.0067869837615729236,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
